Fecha;Hora del llamado;Hora de primera respuesta;Tipo de emergencias;Dirección;1cia;2cia;3cia;4cia;Situación;Hora de término de la emergencia;Tiempo respuesta;Tiempo en controlar emergencia;LATITUDE;LONGITUDE;Detalle unidades
2021-05-11 00:00:00;06:22:00;06:26:00;10.4.1;Antonio Nuñez de Fonseca San Antonio, Chile;1;1;0;0;Choque de vehiculo menor contra poste;06:57:00;4;31;-33,5787069;-71,6255822;
2021-05-11 00:00:00;06:28:00;06:45:00;10.6.1;Ines Balmaceda del Rio N. 421, nueva bruselas San Antonio, Chile;0;0;1;0;Liberacion de GLP desde cilindro de 11 kilos;07:26:00;17;41;-33,5655767;-71,6067329;
2021-05-11 00:00:00;14:07:00;14:10:00;10.4.1;Balmaceda San Antonio, Chile;1;1;0;0;Choque de taxi colectivo;14:32:00;3;22;-33,5766461;-71,6070346;
2021-05-12 00:00:00;22:16:00;22:19:00;10.4.1;Antonio Nuñez de Fonseca San Antonio, Chile;1;1;0;0;Choque de vehiculo menor, pierde el control;22:32:00;3;13;-33,5787069;-71,6255822;
2021-05-13 00:00:00;21:12:00;21:17:00;10.4.2;Julio Letelier, Ginebra San Antonio, Chile;1;0;1;0;Colision de dos vehiculos menores;21:44:00;5;27;-33,5720001;-71,6070355;
2021-05-14 00:00:00;11:10:00;11:21:00;10.4.2;San Antonio de las bodegas San Antonio, Chile;1;0;1;0;Colision de taxi colectivo contra vehiculo particular;11:49:00;11;28;-33,5717114;-71,6040106;
2021-05-14 00:00:00;12:45:00;13:03:00;10.2.1;Camino a Leyda, kilometro 17 San Antonio, Chile;0;0;0;1;Incendio de arbol por problema electrico;13:46:00;18;43;-33,6107724;-71,4572075;
2021-05-14 00:00:00;15:03:00;15:11:00;10.4.1;Cruce de Cartagena San Antonio, Chile;1;1;0;0;Colision de vehiculo particular con motorista;15:24:00;8;13;-33,4974365;-71,6230042;
2021-05-17 00:00:00;18:48:00;18:50:00;10.4.1;Avenida Barros Luco con El Molo San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;19:00:00;2;10;-33,5958659;-71,6130935;
2021-05-17 00:00:00;20:23:00;20:29:00;10.3.1;Arrayan N. 823 San Antonio, Chile;0;1;0;0;Menor atrapado en reja al interior del domicilio;20:41:00;6;12;-33,6144469;-71,6200457;
2021-05-17 00:00:00;22:30:00;22:40:00;10.0;Sargento Aldea N. 446 San Antonio, Chile;0;1;0;0;Principio de incendio en entretecho de casa habitacion;23:21:00;10;41;-33,5773729;-71,6104643;
2021-05-18 00:00:00;12:23:00;12:36:00;10.2.1;Carmen Guerrero cerca iglesia mormona en Villa Italia San Antonio, Chile;1;1;0;0;Quema de basura al interior de patio de casa habitacion;12:40:00;13;4;-33,5889588;-71,6068211;
2021-05-18 00:00:00;16:05:00;16:12:00;10.6.2;Vicente Poblete N. 3012 San Antonio, Chile;1;0;1;0;Acumulacion de basura al interior de patio de jardin infantil;16:45:00;7;33;-33,6038343;-71,6094063;
2021-05-19 00:00:00;07:54:00;08:03:00;10.4.3;Autopista nuevo acceso San Antonio, Chile;1;0;1;0;Colision vehiculo menor contra vehiculo mayor, un fallecido;08:30:00;9;27;-33,6029816;-71,6038789;
2021-05-20 00:00:00;10:17:00;10:30:00;10.4.3;Autopista nuevo acceso San Antonio, Chile;1;0;1;0;Desbarrancamiento vehiculo mayor;11:17:00;13;47;-33,6029816;-71,6038789;
2021-05-20 00:00:00;10:32:00;10:40:00;10.0;Las araucanias, toma camino antiguo a Cartagena San Antonio, Chile;0;1;0;0;Incendio en casa habitacion;11:45:00;8;65;-33,5577876;-71,607963;
2021-05-20 00:00:00;16:24:00;16:43:00;10.2.1;Parque DYR San Antonio, Chile;0;0;0;1;Quema de pastizal y basura;17:09:00;19;26;-33,6102359;-71,6209833;
2021-05-20 00:00:00;19:23:00;19:28:00;10.4.2;Jose Miguel Carrera s/n, cristo rey San Antonio, Chile;1;0;1;0;Colision de dos vehiculos menores;19:28:00;5;0;-33,6088902;-71,6044366;
2021-05-21 00:00:00;10:41:00;10:49:00;10.1;Las gualtecas N. 866 San Antonio, Chile;1;0;0;0;Fuego en motor de vehiculo;11:32:00;8;43;-33,5922807;-71,6055123;
